OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,PropertyName,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),LargestPropertyUseType,ENERGYSTARScore,SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),TotalGHGEmissions,GHGEmissionsIntensity
29,2016,NonResidential,Hotel,WATERTOWN HOTEL,NORTHEAST,2001,1.0,6,88592,30586,58006,Hotel,84.0,3673186.75,0.0,2266231.0,1397303.0,90.01,1.02
30,2016,NonResidential,University,Main Campus Center,DOWNTOWN,1928,1.0,7,126593,0,126593,College/University,,12183313.0,0.0,4647474.0,6696211.0,388.04,3.07
31,2016,NonResidential,Other,Seattle Honda,DOWNTOWN,1930,1.0,2,67224,0,67224,Automobile Dealership,,1310236.625,0.0,1310236.0,0.0,9.13,0.14
32,2016,NonResidential,Hotel,Homewood Suites,EAST,1991,1.0,8,158676,30301,128375,Hotel,,5424942.0,0.0,572307.0,4755745.0,256.57,1.62
33,2016,NonResidential,Hotel,Marriott Springhill Suites (33),DOWNTOWN,2001,1.0,10,171866,38281,133585,Hotel,57.0,11171407.0,0.0,5610706.0,5451210.0,328.63,1.91
35,2016,NonResidential,Hotel,Hotel Five,DOWNTOWN,1978,1.0,5,68410,16200,52210,Hotel,57.0,4557974.0,0.0,2346349.0,2110365.0,128.44,1.88
38,2016,NonResidential,Small- and Mid-Sized Office,Good Shepherd Center,LAKE UNION,1906,1.0,3,87262,0,87262,Office,,4703690.0,0.0,1352843.0,2793077.0,157.77,1.81
40,2016,NonResidential,Hotel,Silver Cloud University,NORTHEAST,1994,1.0,4,81871,0,81871,Hotel,29.0,6731281.5,0.0,3016399.0,3652169.0,215.0,2.63
41,2016,NonResidential,Self-Storage Facility,08781-University Village,NORTHEAST,1955,1.0,2,110356,0,110356,Self-Storage Facility,,326223.0938,0.0,281265.0,37100.0,3.93,0.04
46,2016,NonResidential,Warehouse,Seattle 11-13,GREATER DUWAMISH,1961,3.0,2,714095,0,714095,Non-Refrigerated Warehouse,,44110016.0,0.0,44731153.0,0.0,311.84,0.44
52,2016,NonResidential,Small- and Mid-Sized Office,SBC52,BALLARD,1961,1.0,2,94900,0,94900,Office,57.0,6536359.5,0.0,4291585.0,1894876.0,130.56,1.38
53,2016,NonResidential,Small- and Mid-Sized Office,El Centro de la Raza,GREATER DUWAMISH,1900,1.0,2,52554,0,52554,Office,83.0,3150635.5,0.0,1579749.0,1371582.0,83.86,1.6
54,2016,NonResidential,K-12 School,Blanchet High School,NORTHWEST,1954,1.0,3,175015,0,175015,K-12 School,95.0,7886505.5,0.0,2679739.0,4315001.0,247.85,1.42
55,2016,NonResidential,Self-Storage Facility,Vine Street,DOWNTOWN,1911,1.0,3,70586,0,70586,Self-Storage Facility,,2331573.25,0.0,1500229.0,658400.0,45.43,0.64
56,2016,NonResidential,Hotel,Seattle Hilton Hotel,DOWNTOWN,1969,1.0,24,332210,205970,126240,Hotel,67.0,16163194.0,0.0,12204406.0,3958787.0,295.33,0.89
57,2016,NonResidential,Large Office,5th and Pine,DOWNTOWN,1973,1.0,5,168115,0,168115,Office,78.0,9536161.0,0.0,9536160.0,0.0,66.48,0.4
58,2016,NonResidential,Other,1525 4th Avenue,DOWNTOWN,1920,1.0,2,57428,0,57428,Other - Mall,,1239429.75,0.0,714939.0,532423.0,33.26,0.58
59,2016,NonResidential,Small- and Mid-Sized Office,Gibraltar Tower,DOWNTOWN,1910,1.0,8,59400,0,59400,Office,14.0,5242479.5,0.0,5071973.0,0.0,35.36,0.6
60,2016,NonResidential,Mixed Use Property,Mann Building,DOWNTOWN,1926,1.0,2,52549,0,52549,Other - Entertainment/Public Assembly,,15683742.0,0.0,4632459.0,10393737.0,584.31,11.12
62,2016,NonResidential,Hotel,Roosevelt Hotel,DOWNTOWN,1930,1.0,20,98634,10043,88591,Hotel,71.0,5078816.0,0.0,4290059.0,551288.0,59.19,0.6
63,2016,NonResidential,Hotel,Sheraton Seattle Hotel,DOWNTOWN,1982,1.0,34,994212,146694,847518,Hotel,63.0,82318072.0,11598686.0,45545529.0,23324992.0,2451.58,2.47
65,2016,NonResidential,Hotel,Inn at the Market,DOWNTOWN,1985,1.0,7,71150,0,71150,Hotel,98.0,5348309.0,0.0,3243900.0,2104408.0,134.38,1.89
66,2016,NonResidential,Hotel,Moore Hotel INC,DOWNTOWN,1908,1.0,7,122810,0,122810,Hotel,99.0,6088417.5,0.0,1293561.0,4107716.0,227.18,1.85
67,2016,NonResidential,Hotel,QUALITY INN,LAKE UNION,1959,1.0,5,113173,42546,70627,Hotel,86.0,5428403.5,0.0,2944680.0,2339663.0,144.79,1.28
68,2016,NonResidential,Hotel,Rainier Hospitality,LAKE UNION,2000,1.0,7,150453,34735,115718,Hotel,84.0,6835263.5,0.0,3396109.0,3319078.0,199.95,1.33
69,2016,NonResidential,Hotel,Sequim Lodging Corp,LAKE UNION,1997,1.0,6,116300,28200,88100,Hotel,80.0,5941927.0,0.0,3188457.0,2639138.0,162.39,1.4
70,2016,NonResidential,Hotel,Homewood Suites by Hilton Seattle Downtonw,MAGNOLIA / QUEEN ANNE,1998,1.0,6,155602,36744,118858,Hotel,81.0,6849826.5,0.0,4558937.0,2277962.0,152.76,0.98
73,2016,NonResidential,K-12 School,Seattle Hebrew Academy,EAST,1911,1.0,3,56072,0,56072,K-12 School,76.0,3800842.5,0.0,551867.0,2682920.0,146.34,2.61
77,2016,NonResidential,Hotel,Comfort Suites Seattle Center,MAGNOLIA / QUEEN ANNE,1999,1.0,4,122942,44891,78051,Hotel,94.0,5387530.0,0.0,2423730.0,2913604.0,171.64,1.4
82,2016,NonResidential,Small- and Mid-Sized Office,Dept of Social & Health Services,CENTRAL,1962,1.0,2,54984,0,54984,Office,71.0,3630147.25,0.0,1978230.0,1396981.0,87.98,1.6
84,2016,NonResidential,Senior Care Community,PSSA - The Mount,SOUTHWEST,1922,1.0,5,217603,0,217603,Senior Care Community,54.0,45547252.0,0.0,11824772.0,30967300.0,1727.11,7.94
85,2016,NonResidential,Senior Care Community,Foss Home and Village,NORTHWEST,1970,1.0,2,93397,0,93397,Senior Care Community,1.0,16959754.0,0.0,5679498.0,10723064.0,609.1,6.52
86,2016,NonResidential,Hotel,SCCA - ALLIANCE HOUSE,LAKE UNION,2008,1.0,6,84103,20732,63371,Hotel,74.0,3787499.0,0.0,2812688.0,893412.0,67.06,0.8
89,2016,NonResidential,Medical Office,Polyclinic North && South,EAST,1965,0.0,3,179014,0,179014,Medical Office,48.0,16527711.0,0.0,9886484.0,6814570.0,430.84,2.41
95,2016,NonResidential,Hotel,Sorrento Hotel,EAST,1908,1.0,7,76631,0,76631,Hotel,71.0,7250730.5,0.0,2660742.0,4598016.0,262.75,3.43
96,2016,NonResidential,Mixed Use Property,Central Seattle,EAST,1983,1.0,6,99780,9341,90439,Medical Office,,15684371.0,5327802.5,10145313.0,0.0,481.97,4.83
98,2016,NonResidential,Retail Store,Firestone Store#012432,LAKE UNION,1929,1.0,2,58320,0,58320,Retail Store,96.0,1243027.75,0.0,361803.0,687945.0,39.06,0.67
100,2016,NonResidential,Large Office,City Place III - SEDO,LAKE UNION,2010,1.0,5,316306,0,316306,Office,96.0,13909270.0,0.0,12871091.0,924861.0,138.85,0.44
102,2016,NonResidential,Hotel,Residence Inn Seattle - Lake Union,LAKE UNION,1990,1.0,7,282863,44766,238097,Hotel,37.0,20194606.0,0.0,10980652.0,8478651.0,526.85,1.86
103,2016,NonResidential,Other,Key Arena,MAGNOLIA / QUEEN ANNE,1962,1.0,1,389000,0,389000,Other,,23736924.0,6093150.0,14419146.0,688680.0,607.41,1.56
104,2016,NonResidential,Other,Bagley Wright Theatre,MAGNOLIA / QUEEN ANNE,1962,1.0,1,91213,0,91213,Other,,8181881.0,4120130.0,3754115.0,0.0,344.2,3.77
106,2016,NonResidential,Other,Armory,MAGNOLIA / QUEEN ANNE,1938,1.0,5,396085,0,396085,Other,,21257836.0,9763690.0,7252325.0,0.0,804.2,2.03
107,2016,NonResidential,Large Office,City Place IV - SEDO,LAKE UNION,2010,1.0,12,571329,0,571329,Office,91.0,40153432.0,0.0,32206199.0,7399685.0,617.52,1.08
110,2016,NonResidential,Other,Exhibition Hall,MAGNOLIA / QUEEN ANNE,1962,1.0,2,52000,0,52000,Other,,2682242.75,1202380.0,1293349.0,0.0,101.83,1.96
111,2016,NonResidential,Other,Mercer Arena,MAGNOLIA / QUEEN ANNE,1928,1.0,1,60696,0,60696,Other,,875943.3125,0.0,875943.0,0.0,6.11,0.1
112,2016,NonResidential,Other,McCaw Hall,MAGNOLIA / QUEEN ANNE,1928,1.0,2,262048,0,262048,Other,,20823520.0,5137220.0,13512686.0,0.0,490.73,1.87
113,2016,NonResidential,Small- and Mid-Sized Office,KCTS9,MAGNOLIA / QUEEN ANNE,1986,0.0,2,66240,2352,63888,Office,,4192107.75,0.0,4166305.0,0.0,29.04,0.44
114,2016,NonResidential,Large Office,Bill and Melinda Gates Foundation,MAGNOLIA / QUEEN ANNE,2010,1.0,6,920598,303707,616891,Office,93.0,38105108.0,0.0,27597261.0,9069780.0,674.09,0.73
115,2016,NonResidential,Small- and Mid-Sized Office,J.G. Scripps Building,MAGNOLIA / QUEEN ANNE,1970,1.0,4,76213,25930,50283,Office,68.0,3647345.75,0.0,2944692.0,531520.0,48.76,0.64
116,2016,NonResidential,Hotel,MEDITERRANEAN INN (ID#116),MAGNOLIA / QUEEN ANNE,2002,1.0,6,96910,36934,59976,Hotel,56.0,5274523.0,0.0,2637011.0,2518558.0,152.14,1.57
117,2016,NonResidential,Hotel,UNIVERSITY INN,NORTHEAST,1962,2.0,4,50017,0,50017,Hotel,53.0,5528580.5,0.0,2128306.0,3320669.0,191.2,3.82
119,2016,NonResidential,K-12 School,St. Joseph K-8 School,EAST,1923,1.0,3,67743,0,67743,K-12 School,34.0,3036464.0,0.0,1337786.0,1309093.0,78.85,1.16
120,2016,NonResidential,K-12 School,Holy Names Academy,EAST,1908,1.0,6,194104,0,194104,K-12 School,100.0,7204080.0,0.0,1887893.0,4331949.0,243.23,1.25
121,2016,NonResidential,Small- and Mid-Sized Office,2100 Building,SOUTHEAST,2003,1.0,3,99433,35752,63681,Office,63.0,4980737.5,0.0,4897760.0,0.0,34.14,0.34
131,2016,NonResidential,Other,Lakeview,NORTHEAST,1941,1.0,4,56521,0,56521,Other,,6367210.0,0.0,6357631.0,0.0,44.32,0.78
132,2016,NonResidential,Other,Roosevelt Square,NORTHEAST,1929,1.0,2,206934,0,206934,Other,,4384625.5,0.0,2001103.0,2252474.0,133.58,0.65
136,2016,NonResidential,Hotel,Holiday Inn Express North Seattle Shoreline,NORTHWEST,2001,1.0,4,51390,0,51390,Hotel,89.0,3616214.0,0.0,1398289.0,2213249.0,127.29,2.48
139,2016,NonResidential,Hotel,7066-Seattle-Northgate,NORTHWEST,2002,1.0,3,69138,0,69138,Hotel,78.0,3323400.5,0.0,1802889.0,1439568.0,89.02,1.29
144,2016,NonResidential,Hotel,Alexis Hotel,DOWNTOWN,1904,1.0,5,190980,0,190980,Hotel,98.0,6505995.0,0.0,4402910.0,2103084.0,142.39,0.75
145,2016,NonResidential,Other,Benaroya Hall,DOWNTOWN,1998,1.0,6,284100,0,284100,Other - Entertainment/Public Assembly,,14881950.0,4311136.0,9803021.0,527343.0,429.12,1.51
147,2016,NonResidential,Hospital,Swedish Ballard,BALLARD,1954,4.0,5,285333,0,285333,Hospital (General Medical & Surgical),14.0,47602720.0,0.0,35237205.0,32853512.0,1990.5,6.98
163,2016,NonResidential,Other,Fire Station 10/FAC/EOC,DOWNTOWN,2006,1.0,4,61156,0,61156,Other,,9550716.0,0.0,6947270.0,2416104.0,176.75,2.89
167,2016,NonResidential,Other,Wing Luke Museum,DOWNTOWN,1910,1.0,4,72820,13820,59000,Museum,,2095175.25,0.0,1311669.0,698785.0,46.26,0.64
168,2016,NonResidential,Hotel,Hampton Inn Seattle Center,MAGNOLIA / QUEEN ANNE,1996,1.0,4,162222,14200,148022,Hotel,76.0,8016521.0,0.0,4197462.0,3749499.0,228.4,1.41
170,2016,NonResidential,University,SCCC FINE ARTS BUILDING,EAST,1915,1.0,3,63330,0,63330,College/University,,3284214.5,0.0,1911064.0,1148694.0,74.33,1.17
173,2016,NonResidential,Small- and Mid-Sized Office,Seattle Children's Hospital 70th/Sand Point Way Administrative Offices,NORTHEAST,2002,1.0,2,96300,0,96300,Office,,16274449.0,0.0,13973696.0,2346137.0,222.02,2.31
174,2016,NonResidential,Other,CSC Vehicle Maintenance (E),GREATER DUWAMISH,1950,1.0,1,67356,0,67356,"Repair Services (Vehicle, Shoe, Locksmith, etc)",,8086930.5,0.0,4182001.0,3293576.0,204.08,3.03
179,2016,NonResidential,Small- and Mid-Sized Office,Seattle's Union Gospel Mission - Admin,GREATER DUWAMISH,1958,1.0,1,54765,0,54765,Office,,4503671.5,0.0,3569337.0,684032.0,61.21,1.12
180,2016,NonResidential,Other,Hope Place,GREATER DUWAMISH,2009,1.0,5,89821,0,89821,Other - Lodging/Residential,,2220796.5,0.0,67462.0,1882631.0,100.46,1.12
182,2016,NonResidential,University,Otto Miller Hall,MAGNOLIA / QUEEN ANNE,1980,1.0,2,52611,0,52611,College/University,,4390158.0,0.0,2479273.0,1637598.0,104.26,1.98
183,2016,NonResidential,Residence Hall,Emerson Hall,MAGNOLIA / QUEEN ANNE,2001,1.0,4,139600,37500,102100,Residence Hall/Dormitory,89.0,4800620.5,0.0,2316298.0,2132284.0,129.39,0.93
187,2016,NonResidential,Other,Youth Services Center,CENTRAL,1971,3.0,6,250981,0,250981,Other,,14196194.0,4336524.5,8155002.0,580172.0,422.39,1.68
338,2016,NonResidential,Other,Jack R. McDonald Building,DOWNTOWN,2004,1.0,11,299070,68432,230638,Other,,66000296.0,0.0,30651644.0,34685331.0,2055.82,6.87
190,2016,NonResidential,Small- and Mid-Sized Office,Emerald Services,GREATER DUWAMISH,2007,1.0,3,64015,0,64015,Office,21.0,3375016.25,0.0,2657382.0,584696.0,49.58,0.77
194,2016,NonResidential,Retail Store,Northgate Mall,NORTH,1951,1.0,1,530039,0,530039,Retail Store,98.0,28763498.0,0.0,16224529.0,11492503.0,723.47,1.36
195,2016,NonResidential,Other,Seattle-Northgate,NORTH,1964,1.0,3,54224,0,54224,Other/Specialty Hospital,,7668810.0,0.0,3344827.0,3920350.0,231.53,4.27
197,2016,NonResidential,Retail Store,Nordstrom Northgate 002,NORTH,1965,1.0,4,124342,0,124342,Retail Store,76.0,8729918.0,0.0,8653621.0,112356.0,66.3,0.53
198,2016,NonResidential,Hospital,Seattle Children's Hospital Main Campus,NORTHEAST,1953,6.0,10,879000,0,879000,Hospital (General Medical & Surgical),10.0,257764208.0,0.0,115641210.0,138191238.0,8145.52,9.27
200,2016,NonResidential,Other,Verity Credit Union,NORTHWEST,1996,1.0,3,55442,0,55442,Financial Office,72.0,3313397.0,0.0,1859345.0,1331883.0,83.7,1.51
209,2016,NonResidential,Self-Storage Facility,Madison Self Storage,EAST,1910,1.0,5,84870,0,84870,Self-Storage Facility,,1617801.25,0.0,482635.0,898955.0,51.11,0.6
215,2016,NonResidential,Warehouse,Rainier Bottling Plant,GREATER DUWAMISH,1904,1.0,4,114297,0,114297,Non-Refrigerated Warehouse,61.0,2415462.5,0.0,912475.0,1187623.0,69.44,0.61
220,2016,NonResidential,Warehouse,8109,GREATER DUWAMISH,1937,1.0,1,234144,0,234144,Non-Refrigerated Warehouse,87.0,7874958.5,0.0,1316817.0,5427500.0,297.43,1.27
223,2016,NonResidential,Retail Store,Westwood Village - Building A,DELRIDGE,1966,1.0,1,64984,0,64984,Retail Store,72.0,3016373.5,0.0,2613687.0,330609.0,35.78,0.55
224,2016,NonResidential,Retail Store,Westwood Village - Building B,DELRIDGE,1965,1.0,1,67745,0,67745,Retail Store,37.0,9589728.0,0.0,2624102.0,6606121.0,369.14,5.45
228,2016,NonResidential,Other,Webster Building,BALLARD,1973,1.0,3,56000,0,56000,Other,,2088978.125,0.0,844864.0,1006396.0,59.34,1.06
230,2016,NonResidential,Self-Storage Facility,U-Haul Moving and Storage of West Seattle,SOUTHWEST,1969,1.0,2,52088,0,52088,Self-Storage Facility,,1576122.875,0.0,523765.0,853755.0,48.99,0.94
232,2016,NonResidential,Hotel,Silver Cloud Inn,LAKE UNION,1998,1.0,5,123920,30000,93920,Hotel,79.0,9676783.0,0.0,4079217.0,5293961.0,309.6,2.5
233,2016,NonResidential,Other,Armory Building,LAKE UNION,1900,1.0,1,50000,0,50000,Museum,,7942537.5,0.0,3797924.0,3750882.0,225.69,4.51
234,2016,NonResidential,Warehouse,SCL Roy Street Warehouse,MAGNOLIA / QUEEN ANNE,1926,1.0,2,50292,0,50292,Non-Refrigerated Warehouse,,430473.6875,0.0,430474.0,0.0,3.0,0.06
235,2016,NonResidential,Hotel,311jk-Seattle Downtown/Lake Union CY,MAGNOLIA / QUEEN ANNE,1998,1.0,7,207656,54341,153315,Hotel,76.0,11754087.0,0.0,5530787.0,5641200.0,338.16,1.63
238,2016,NonResidential,Small- and Mid-Sized Office,North Service Center,NORTHWEST,1957,1.0,2,91130,0,91130,Office,,10005492.0,0.0,7093984.0,2378373.0,175.77,1.93
241,2016,NonResidential,Hotel,Hotel Nexus,NORTHWEST,1968,1.0,4,64893,0,64893,Hotel,70.0,6211749.5,0.0,2620548.0,3577277.0,208.26,3.21
244,2016,NonResidential,Small- and Mid-Sized Office,Washington Park Building,DOWNTOWN,1900,1.0,3,44558,0,44558,Office,78.0,1722053.0,0.0,1317637.0,359365.0,28.27,0.63
245,2016,NonResidential,Other,CenturyLink,GREATER DUWAMISH,1999,1.0,6,1585960,327680,1258280,Other - Entertainment/Public Assembly,,62160304.0,0.0,49439914.0,10317518.0,892.63,0.56
247,2016,NonResidential,Distribution Center,SCL SSC Building A,GREATER DUWAMISH,1924,1.0,2,179161,0,179161,Distribution Center,,10168523.0,0.0,8772104.0,664302.0,96.43,0.54
248,2016,NonResidential,Warehouse,SCL SSC Building B,GREATER DUWAMISH,1965,1.0,2,58640,0,58640,Non-Refrigerated Warehouse,,4327563.5,0.0,3928695.0,0.0,27.39,0.47
249,2016,NonResidential,Other,Safeco Field,GREATER DUWAMISH,1999,1.0,3,1172127,0,1172127,Other - Entertainment/Public Assembly,,57406988.0,0.0,40622381.0,18138920.0,1246.55,1.06
250,2016,NonResidential,Hotel,Silver Cloud Hotel - Stadium,GREATER DUWAMISH,2005,1.0,9,168449,14567,153882,Hotel,64.0,12871628.0,0.0,6232233.0,6494555.0,388.37,2.31
257,2016,NonResidential,Warehouse,Harbor Island: Warehouse E - DNRP-SWD,GREATER DUWAMISH,1916,0.0,4,79600,0,79600,Non-Refrigerated Warehouse,34.0,2411402.25,0.0,2411402.0,0.0,16.81,0.21
263,2016,NonResidential,Other,Building 1,NORTH,2008,1.0,6,419848,335109,84739,Parking,,9238992.0,0.0,6995246.0,2139716.0,162.41,0.39
264,2016,NonResidential,Mixed Use Property,TriBeCa,MAGNOLIA / QUEEN ANNE,2002,1.0,4,110785,0,110785,Multifamily Housing,,10864032.0,0.0,10139555.0,418354.0,92.91,0.84
267,2016,NonResidential,Hotel,Grand Hyatt Seattle,DOWNTOWN,1999,1.0,0,934292,0,934292,Hotel,,66502836.0,0.0,39364114.0,25683162.0,1638.46,1.75
268,2016,NonResidential,Hospital,Swedish Cherry Hill,CENTRAL,1990,6.0,5,597519,0,597519,Hospital (General Medical & Surgical),34.0,147299056.0,0.0,58754927.0,84668094.0,4906.33,8.21
274,2016,NonResidential,Warehouse,27020-Seattle / Stone Way North,LAKE UNION,1991,1.0,3,75397,8161,67236,Non-Refrigerated Warehouse,91.0,571637.5,0.0,423381.0,125800.0,9.63,0.13
276,2016,NonResidential,Hospital,Harborview Medical Center,EAST,2000,9.0,8,1158691,0,1158691,Hospital (General Medical & Surgical),29.0,296671744.0,122575032.0,168683602.0,1832129.0,10734.57,9.26
278,2016,NonResidential,Senior Care Community,ID Village Square 1,DOWNTOWN,1999,1.0,5,102796,12611,90185,Senior Care Community,,10281401.0,0.0,7428816.0,2676561.0,193.94,1.89
281,2016,NonResidential,K-12 School,University HTS Grade School,NORTHEAST,1928,1.0,2,55653,0,55653,K-12 School,98.0,1597907.25,0.0,6138.0,1371489.0,72.88,1.31
282,2016,NonResidential,Hotel,Hotel Deca,NORTHEAST,1931,1.0,16,106860,0,106860,Hotel,49.0,12616417.0,0.0,3561742.0,8373976.0,469.57,4.39
283,2016,NonResidential,Small- and Mid-Sized Office,Lake City Center,NORTH,1972,1.0,5,50759,0,50759,Office,62.0,3321734.0,0.0,2558533.0,588509.0,49.09,0.97
284,2016,NonResidential,Worship Facility,University Congregational United Church of Christ,NORTHEAST,1952,1.0,2,56772,0,56772,Worship Facility,46.0,2762805.5,0.0,975113.0,1464372.0,84.57,1.49
285,2016,NonResidential,Worship Facility,University Presbyterian Church,NORTHEAST,1952,1.0,3,103000,0,103000,Worship Facility,42.0,5391782.0,0.0,2338435.0,2515995.0,149.93,1.46
293,2016,NonResidential,Other,ACT Theatre,DOWNTOWN,1914,1.0,7,128766,0,128766,Other - Entertainment/Public Assembly,,6057410.0,0.0,5732650.0,324760.0,57.21,0.44
294,2016,NonResidential,Residence Hall,Women's Residence at Seneca,DOWNTOWN,1913,1.0,9,107572,0,107572,Residence Hall/Dormitory,76.0,5879083.0,3076446.5,2496056.0,0.0,254.87,2.37
295,2016,NonResidential,Other,1122 3rd Ave,DOWNTOWN,1955,1.0,15,230880,0,230880,Other,,61674856.0,0.0,62197171.0,0.0,433.6,1.88
302,2016,NonResidential,Other,Seattle ReadCntr (50/50),MAGNOLIA / QUEEN ANNE,1973,1.0,1,76086,0,76086,Other,,3576720.0,0.0,1563366.0,1704198.0,101.41,1.33
313,2016,NonResidential,Medical Office,BMR-201 Elliott Avenue LLC,MAGNOLIA / QUEEN ANNE,1927,1.0,5,190000,39000,151000,Medical Office,1.0,28731502.0,0.0,18745441.0,9986059.0,661.04,3.48
314,2016,NonResidential,Hotel,Edgewater Seattle,DOWNTOWN,1961,1.0,4,122309,0,122309,Hotel,8.0,26122018.0,0.0,6322533.0,19131155.0,1060.13,8.67
316,2016,NonResidential,Hotel,337v2-Seattle Waterfront Marriott,DOWNTOWN,2003,1.0,8,254273,38800,215473,Hotel,29.0,26831896.0,0.0,13763542.0,12895700.0,780.84,3.07
317,2016,NonResidential,Other,Seattle Aquarium,DOWNTOWN,1980,1.0,2,69400,0,69400,Other - Entertainment/Public Assembly,,15230290.0,0.0,10534370.0,4299104.0,301.76,4.35
318,2016,NonResidential,Mixed Use Property,Pier 54,DOWNTOWN,1900,1.0,1,62900,0,62900,Restaurant,,10883874.0,0.0,3787933.0,6606397.0,377.27,6.0
319,2016,NonResidential,Small- and Mid-Sized Office,Daily Journal Building,DOWNTOWN,1914,1.0,4,56500,0,56500,Office,98.0,1500938.5,492761.8125,887532.0,0.0,44.22,0.78
320,2016,NonResidential,Warehouse,(ID320) BMW SEATTLE - SERVICE CENTER,GREATER DUWAMISH,2008,1.0,4,203504,0,203504,Non-Refrigerated Warehouse,72.0,3944732.0,0.0,3785282.0,0.0,26.39,0.13
