OSEBuildingID,DataYear,BuildingType,PropertyName,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),LargestPropertyUseType,ENERGYSTARScore,SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),TotalGHGEmissions
282,2016,NonResidential,Hotel Deca,NORTHEAST,1931,1.0,16,106860,0,106860,Hotel,49.0,12616417.0,0.0,3561742.0,8373976.0,469.57
24118,2016,NonResidential,(ID24118) Industrial Way Building,GREATER DUWAMISH,1967,1.0,1,23296,0,23296,Non-Refrigerated Warehouse,,1639903.75,0.0,778664.0,651191.0,40.01
50039,2016,NonResidential,Honda of Seattle/Toyota of Seattle,GREATER DUWAMISH,2015,1.0,2,108036,0,108036,Parking,,5298717.5,0.0,3752536.0,1239357.0,91.98
21142,2016,NonResidential,155N35,LAKE UNION,1969,1.0,1,30730,0,30730,Other,,3269018.5,0.0,1918002.0,1132453.0,73.52
469,2016,NonResidential,Rosen Building - SEDO,LAKE UNION,1928,1.0,3,55200,0,55200,Laboratory,,12072969.0,0.0,7500378.0,4093742.0,269.71
553,2016,NonResidential,South Seattle Distribution Center- 3844,GREATER DUWAMISH,1949,1.0,1,101101,0,101101,Distribution Center,1.0,21341708.0,0.0,21779250.0,16577.0,152.71
610,2016,NonResidential,FX McRory Building,DOWNTOWN,1906,1.0,7,99440,0,99440,Office,64.0,6669621.5,0.0,4685851.0,1920981.0,134.69
24091,2016,NonResidential,"Total Reclaim, Inc",GREATER DUWAMISH,1960,1.0,1,45842,0,45842,Non-Refrigerated Warehouse,99.0,847703.375,0.0,671187.0,148167.0,12.55
49715,2016,NonResidential,Elm Hall,NORTHEAST,2012,1.0,5,136758,0,136758,Residence Hall/Dormitory,90.0,6662918.5,0.0,3420620.0,2854748.0,175.46
815,2016,NonResidential,Fifth and Yesler,DOWNTOWN,2009,1.0,17,413264,138098,275166,Office,91.0,13631141.0,0.0,13631140.0,0.0,95.03
21913,2016,NonResidential,CORRY'S DRYCLEANING (ID21913),NORTHEAST,1959,1.0,2,20296,0,20296,Self-Storage Facility,,855665.125,0.0,855665.0,0.0,5.97
452,2016,NonResidential,1144 Eastlake Building,LAKE UNION,2001,1.0,7,139200,44728,94472,Office,81.0,4342597.0,0.0,4342597.0,0.0,30.27
26909,2016,NonResidential,Chi Omega Fraternity of Washington,NORTHEAST,1926,1.0,3,27487,0,27487,Residence Hall/Dormitory,82.0,1753311.875,0.0,406046.0,1188459.0,65.95
98,2016,NonResidential,Firestone Store#012432,LAKE UNION,1929,1.0,2,58320,0,58320,Retail Store,96.0,1243027.75,0.0,361803.0,687945.0,39.06
495,2016,NonResidential,4245 Roosevelt 2ros4245,NORTHEAST,1994,1.0,4,191276,95281,95995,Medical Office,21.0,8422861.0,0.0,8005293.0,417567.0,77.99
24585,2016,NonResidential,Gorlick's Distribution Center,GREATER DUWAMISH,1918,1.0,1,26075,0,26075,Other,,1646355.25,0.0,1470083.0,138426.0,17.6
21239,2016,NonResidential,Seattle North,NORTHEAST,1949,1.0,1,26033,0,26033,Worship Facility,78.0,1343672.875,0.0,340323.0,808817.0,45.33
671,2016,NonResidential,Jefferson Tower,CENTRAL,1987,1.0,7,94500,0,94500,Medical Office,68.0,5739540.0,0.0,5792925.0,0.0,40.38
24354,2016,NonResidential,1760 4th Avenue South,GREATER DUWAMISH,1989,1.0,1,23792,0,23792,Non-Refrigerated Warehouse,,2810298.5,0.0,2852102.0,0.0,19.88
183,2016,NonResidential,Emerson Hall,MAGNOLIA / QUEEN ANNE,2001,1.0,4,139600,37500,102100,Residence Hall/Dormitory,89.0,4800620.5,0.0,2316298.0,2132284.0,129.39
621,2016,NonResidential,1021-1045 6th Ave. S.,GREATER DUWAMISH,1922,1.0,1,82852,0,82852,Non-Refrigerated Warehouse,83.0,2472120.0,0.0,1058065.0,1095539.0,65.56
19858,2016,NonResidential,Marion 823,DOWNTOWN,1978,1.0,2,38539,12379,26160,Retail Store,55.0,2249630.25,0.0,2186018.0,0.0,15.24
22261,2016,NonResidential,Building B,BALLARD,1975,1.0,3,41478,0,41478,Non-Refrigerated Warehouse,3.0,3287502.0,0.0,1799383.0,1236579.0,78.22
20033,2016,NonResidential,Lisa Li Building,NORTHEAST,1989,1.0,2,20384,0,20384,Office,16.0,1781798.375,0.0,1760118.0,30954.0,13.91
168,2016,NonResidential,Hampton Inn Seattle Center,MAGNOLIA / QUEEN ANNE,1996,1.0,4,162222,14200,148022,Hotel,76.0,8016521.0,0.0,4197462.0,3749499.0,228.4
388,2016,NonResidential,Rainier Tower,DOWNTOWN,1976,1.0,42,635824,0,635824,Office,69.0,48479988.0,0.0,48479982.0,0.0,337.97
543,2016,NonResidential,Seattle Distribution Center Bldg A,GREATER DUWAMISH,1967,1.0,1,124472,0,124472,Distribution Center,62.0,6345882.5,0.0,1145957.0,4318805.0,237.36
21219,2016,NonResidential,Comcast,NORTHWEST,1972,1.0,1,48112,0,48112,Non-Refrigerated Warehouse,73.0,1463960.0,0.0,1485946.0,0.0,10.36
23051,2016,NonResidential,MMFS Upper Bldg,DELRIDGE,1988,1.0,2,30659,0,30659,Office,88.0,2828171.5,0.0,1804388.0,814700.0,55.85
24105,2016,NonResidential,625 Building,GREATER DUWAMISH,1953,1.0,1,24990,0,24990,Non-Refrigerated Warehouse,80.0,550746.6875,0.0,414213.0,109401.0,8.7
20067,2016,NonResidential,FareStart,DOWNTOWN,1923,1.0,3,33600,0,33600,Restaurant,,4712960.5,0.0,2941315.0,1534335.0,101.99
24624,2016,NonResidential,Bastyr Center for Natural Health,LAKE UNION,1940,1.0,2,41293,15243,26050,College/University,,3023468.0,0.0,1932090.0,907792.0,61.68
23115,2016,NonResidential,Intermountain Supply,DELRIDGE,1979,1.0,1,42900,0,42900,Distribution Center,53.0,461205.5938,0.0,436253.0,0.0,3.04
21784,2016,NonResidential,Sun Food Trading Co,GREATER DUWAMISH,1914,1.0,2,45594,0,45594,Refrigerated Warehouse,75.0,1329148.25,0.0,1351268.0,0.0,9.42
25001,2016,NonResidential,Econo Mini Storage,NORTHEAST,1947,1.0,3,22522,0,22522,Self-Storage Facility,,630412.625,0.0,136609.0,424865.0,23.52
24708,2016,NonResidential,820,GREATER DUWAMISH,1920,1.0,2,20150,0,20150,Office,80.0,592196.6875,0.0,576174.0,0.0,4.02
25667,2016,NonResidential,Pike Building,EAST,1912,1.0,2,34914,0,34914,Retail Store,,1314474.5,0.0,1333290.0,0.0,9.29
22953,2016,NonResidential,Tux Shop,NORTH,1965,1.0,1,24982,0,24982,Retail Store,99.0,335245.0,0.0,335245.0,0.0,2.34
21317,2016,NonResidential,Coliseum,DOWNTOWN,1915,1.0,1,36504,0,36504,Retail Store,2.0,2147472.5,0.0,1968493.0,132489.0,20.76
20868,2016,NonResidential,Stone 34,LAKE UNION,2013,1.0,5,206126,79284,126842,Office,98.0,4515744.5,0.0,3601473.0,887828.0,72.26
22264,2016,NonResidential,Building A,BALLARD,1980,1.0,1,39840,0,39840,Non-Refrigerated Warehouse,2.0,774360.0,0.0,752104.0,0.0,5.24
596,2016,NonResidential,5050,GREATER DUWAMISH,1938,1.0,1,50008,0,50008,Office,62.0,3380481.5,0.0,2270837.0,931375.0,65.3
848,2016,NonResidential,#4706 Bitterlake,NORTHWEST,1995,1.0,1,101830,0,101830,Retail Store,60.0,11474490.0,0.0,5935365.0,4777640.0,295.12
26719,2016,NonResidential,220_3rd_ave_s_03262013,DOWNTOWN,1905,0.0,2,33640,0,33640,Office,70.0,1144343.125,0.0,1078536.0,0.0,7.52
351,2016,NonResidential,1111 Third Avenue,DOWNTOWN,1980,1.0,34,776762,162604,614158,Office,81.0,32577050.0,0.0,32457349.0,95076.0,231.32
49738,2016,NonResidential,Jefferson Square SWAS1490/,SOUTHWEST,1987,1.0,6,146363,0,146363,Strip Mall,,12145596.0,0.0,6438541.0,5292013.0,325.94
24458,2016,NonResidential,Turner,GREATER DUWAMISH,1913,1.0,4,53840,12870,40970,Office,71.0,3034711.5,0.0,2337197.0,575257.0,46.85
25371,2016,NonResidential,Epiphany School,CENTRAL,2009,4.0,2,28500,0,28500,K-12 School,92.0,1300765.5,0.0,717507.0,445054.0,28.64
451,2016,NonResidential,Frye Distribution Center,GREATER DUWAMISH,1960,1.0,1,119661,0,119661,Distribution Center,97.0,775864.1875,0.0,774965.0,764.0,5.44
26601,2016,NonResidential,Duncan Building,DOWNTOWN,1900,1.0,3,38675,0,38675,Office,,1956121.125,0.0,1280095.0,658682.0,43.91
21424,2016,NonResidential,First Church Seattle,MAGNOLIA / QUEEN ANNE,2009,1.0,3,23241,0,23241,Worship Facility,66.0,789925.875,0.0,403459.0,335751.0,20.64
609,2016,NonResidential,111 S. Jackson,DOWNTOWN,1904,1.0,5,78920,0,78920,Office,88.0,2830674.75,0.0,2830674.0,0.0,19.73
23120,2016,NonResidential,(ID23120) WASTE MANAGEMENT,DELRIDGE,1971,1.0,1,26232,0,26232,Other - Services,,3315521.5,0.0,902081.0,2192009.0,122.71
589,2016,NonResidential,1260 Mercer,LAKE UNION,2000,1.0,4,175885,71385,104500,Office,91.0,6486377.5,0.0,6486377.0,0.0,45.22
22479,2016,NonResidential,70500811 -- Interbay,MAGNOLIA / QUEEN ANNE,1961,1.0,1,25842,0,25842,Supermarket/Grocery Store,35.0,8746499.0,0.0,4656997.0,3861316.0,237.54
386,2016,NonResidential,IBM-COS,DOWNTOWN,1964,1.0,22,336330,0,336330,Office,77.0,19730534.0,5370612.0,13134207.0,462194.0,530.66
606,2016,NonResidential,NWCP-SEA Bldg U,GREATER DUWAMISH,1974,1.0,1,93020,0,93020,Non-Refrigerated Warehouse,60.0,1252323.875,0.0,1252324.0,0.0,8.73
50225,2016,NonResidential,South Park Community Center,GREATER DUWAMISH,1989,1.0,1,14101,0,14101,Other - Recreation,,782841.3125,0.0,348870.176,370601.001,22.11
592,2016,NonResidential,SEATTLE 1ST AVE GAR,GREATER DUWAMISH,2000,1.0,1,53040,41600,11440,Other,,1901429.125,0.0,955967.0,814060.0,49.9
839,2016,NonResidential,Silver Cloud Inn - Broadway,EAST,2003,1.0,6,150545,50017,100528,Hotel,28.0,13961121.0,0.0,5601497.0,7808543.0,453.76
22953,2016,NonResidential,Tux Shop,NORTH,1965,1.0,1,24982,0,24982,Retail Store,99.0,335245.0,0.0,335245.0,0.0,2.34
27892,2016,NonResidential,Fire Station 17,NORTHEAST,1929,1.0,3,27908,0,27908,Other,,2182493.0,0.0,964426.0,1063700.0,63.22
31,2016,NonResidential,Seattle Honda,DOWNTOWN,1930,1.0,2,67224,0,67224,Automobile Dealership,,1310236.625,0.0,1310236.0,0.0,9.13
284,2016,NonResidential,University Congregational United Church of Christ,NORTHEAST,1952,1.0,2,56772,0,56772,Worship Facility,46.0,2762805.5,0.0,975113.0,1464372.0,84.57
600,2016,NonResidential,Merlino Foods Building,GREATER DUWAMISH,1956,1.0,1,98480,0,98480,Non-Refrigerated Warehouse,65.0,2898646.0,0.0,2403347.0,428218.0,39.5
198,2016,NonResidential,Seattle Children's Hospital Main Campus,NORTHEAST,1953,6.0,10,879000,0,879000,Hospital (General Medical & Surgical),10.0,257764208.0,0.0,115641210.0,138191238.0,8145.52
22607,2016,NonResidential,Fisheries Building,MAGNOLIA / QUEEN ANNE,1979,1.0,4,22365,0,22365,Office,71.0,727385.8125,0.0,727386.0,0.0,5.07
20987,2016,NonResidential,Building P,GREATER DUWAMISH,1969,1.0,2,25872,0,25872,Office,,1853911.875,0.0,1064725.0,722394.0,45.79
268,2016,NonResidential,Swedish Cherry Hill,CENTRAL,1990,6.0,5,597519,0,597519,Hospital (General Medical & Surgical),34.0,147299056.0,0.0,58754927.0,84668094.0,4906.33
19743,2016,NonResidential,THE MILLIONAIR CLUB,DOWNTOWN,1917,1.0,2,21600,0,21600,Office,,1636649.125,0.0,1241985.0,394664.0,29.62
21057,2016,NonResidential,Fremont Space,LAKE UNION,2006,1.0,4,39926,12400,27526,Office,,1039085.375,0.0,849654.0,161314.0,14.49
24720,2016,NonResidential,Guardian Security Systems,GREATER DUWAMISH,1927,1.0,1,22580,0,22580,Office,90.0,937950.625,0.0,859792.0,68793.0,9.65
394,2016,NonResidential,501 Eastlake Ave. (ID394) Republican Building,LAKE UNION,2001,1.0,5,176532,70067,106465,Office,60.0,5803409.0,0.0,5803409.0,0.0,40.46
857,2016,NonResidential,3480 W Marginal Way SW,SOUTHWEST,1965,1.0,1,152365,0,152365,Non-Refrigerated Warehouse,88.0,1088167.75,0.0,948207.0,121543.0,13.07
33527,2016,NonResidential,SCCC WOOD CONSTRUCTION,CENTRAL,2013,2.0,1,57468,0,57468,College/University,,3778965.75,0.0,2133182.0,1410803.0,89.8
21262,2016,NonResidential,(ID21262) El Rey Apts,DOWNTOWN,1909,1.0,4,29796,0,29796,Residence Hall/Dormitory,47.0,2309752.75,0.0,845812.0,1387450.0,79.58
24089,2016,NonResidential,646 S HOLGATE ST,GREATER DUWAMISH,1944,1.0,1,25880,0,25880,Retail Store,100.0,162960.0,0.0,162960.0,0.0,1.14
24172,2016,NonResidential,Les Schwab Tire Center #396,NORTH,1958,1.0,2,20738,0,20738,Retail Store,44.0,526752.8125,0.0,526753.0,0.0,3.67
20618,2016,NonResidential,"Compton Lumber Co., Inc",GREATER DUWAMISH,1961,1.0,1,38005,0,38005,Non-Refrigerated Warehouse,,800420.6875,0.0,632708.0,119386.0,10.75
24029,2016,NonResidential,GRACE APOSTOLIC CHURCH,SOUTHEAST,1981,1.0,3,22895,0,22895,Worship Facility,96.0,505585.0,0.0,226988.0,213431.0,12.92
21236,2016,NonResidential,PETSMART 0375 (ID21236),NORTHWEST,1998,1.0,1,26115,0,26115,Retail Store,43.0,1760626.0,0.0,1148350.0,541023.0,36.74
173,2016,NonResidential,Seattle Children's Hospital 70th/Sand Point Way Administrative Offices,NORTHEAST,2002,1.0,2,96300,0,96300,Office,,16274449.0,0.0,13973696.0,2346137.0,222.02
24099,2016,NonResidential,Thermal Supply,GREATER DUWAMISH,1972,1.0,1,31365,0,31365,Other,,678829.8125,0.0,641398.0,11594.0,5.09
21792,2016,NonResidential,OTM 162,GREATER DUWAMISH,1962,1.0,1,26150,0,26150,Non-Refrigerated Warehouse,6.0,1322416.75,0.0,815508.0,392900.0,26.55
17,2016,NonResidential,Executive Pacific Plaza,DOWNTOWN,1928,1.0,9,65009,0,65009,Hotel,48.0,6358719.5,1656352.5,1343000.0,3596705.0,328.23
21212,2016,NonResidential,Granite Curling Club,NORTHWEST,1961,1.0,1,20236,0,20236,Other - Recreation,,2089365.125,0.0,1187424.0,777758.0,49.58
521,2016,NonResidential,The Evanston Building,LAKE UNION,2000,1.0,4,90000,36528,53472,Office,84.0,3897738.0,0.0,3897737.0,0.0,27.17
24348,2016,NonResidential,Stoneway,GREATER DUWAMISH,1966,1.0,1,28144,0,28144,Distribution Center,19.0,870127.125,0.0,810350.0,48351.0,8.22
53,2016,NonResidential,El Centro de la Raza,GREATER DUWAMISH,1900,1.0,2,52554,0,52554,Office,83.0,3150635.5,0.0,1579749.0,1371582.0,83.86
25025,2016,NonResidential,(ID25025) 1801 Ranier Ave S,GREATER DUWAMISH,1928,1.0,2,25955,0,25955,Non-Refrigerated Warehouse,,1218112.0,0.0,1218112.0,0.0,8.49
24602,2016,NonResidential,Southwest Precinct,DELRIDGE,2002,1.0,2,28531,0,28531,Other,,3611021.0,0.0,2013762.0,1481167.0,92.7
21388,2016,NonResidential,lee warehouse,BALLARD,1950,1.0,1,27553,0,27553,Non-Refrigerated Warehouse,63.0,1054377.75,0.0,427592.0,539085.0,31.61
471,2016,NonResidential,428 Westlake,LAKE UNION,2004,1.0,6,139282,52582,86700,Office,96.0,3238216.0,0.0,3238216.0,0.0,22.57
24955,2016,NonResidential,3420/3430 E. Marginal Way Whse,GREATER DUWAMISH,1952,1.0,1,16300,0,16300,Distribution Center,100.0,150167.7969,0.0,138179.0,11989.0,1.6
27721,2016,NonResidential,The Seattle Public Library - Greenwood Branch,NORTHWEST,2004,1.0,1,27376,14570,12806,Library,,1155795.125,0.0,668530.0,414390.0,26.67
25124,2016,NonResidential,4H Investments,NORTH,1960,1.0,1,25406,0,25406,"Personal Services (Health/Beauty, Dry Cleaning, etc)",,2484501.5,0.0,1901857.0,540363.0,41.96
693,2016,NonResidential,Queen Anne Square East (200),MAGNOLIA / QUEEN ANNE,1982,1.0,5,98668,0,98668,Office,91.0,4395027.0,0.0,4391348.0,0.0,30.61
749,2016,NonResidential,Fourth and Vine,DOWNTOWN,1975,1.0,8,150000,23630,126370,Office,65.0,9836703.0,0.0,8155743.0,1187684.0,119.93
489,2016,NonResidential,200 West Thomas,MAGNOLIA / QUEEN ANNE,1974,1.0,5,88062,20826,67236,Office,80.0,3558562.5,0.0,3415561.0,0.0,23.81
26396,2016,NonResidential,University Christian Church,NORTHEAST,1927,1.0,2,78401,0,78401,Worship Facility,,2846592.0,0.0,939974.0,1522434.0,87.41
20052,2016,NonResidential,WEST BLDG,NORTHEAST,1997,1.0,1,63153,0,63153,Retail Store,,4670313.0,0.0,4312919.0,331258.0,47.66
21212,2016,NonResidential,Granite Curling Club,NORTHWEST,1961,1.0,1,20236,0,20236,Other - Recreation,,2089365.125,0.0,1187424.0,777758.0,49.58
190,2016,NonResidential,Emerald Services,GREATER DUWAMISH,2007,1.0,3,64015,0,64015,Office,21.0,3375016.25,0.0,2657382.0,584696.0,49.58
25666,2016,NonResidential,(ID25666) POST OPTIONS,EAST,1916,1.0,2,20640,0,20640,Retail Store,,412562.4063,0.0,412562.0,0.0,2.88
26236,2016,NonResidential,4130 1st Ave,GREATER DUWAMISH,1946,1.0,2,31360,0,31360,Other - Entertainment/Public Assembly,,1886366.625,0.0,1126394.0,598714.0,39.65
504,2016,NonResidential,Westbridge,DELRIDGE,1955,0.0,1,113780,0,113780,Other - Services,,4021869.0,0.0,1470885.0,2103657.0,121.98
26956,2016,NonResidential,Kerry Hall,EAST,1921,1.0,3,31900,0,31900,College/University,,2737986.0,0.0,753713.0,1712387.0,96.2
